year,session,date,shift,paper,source_pdf,page_count,document_category,processed,audit_status,audit_note
2022,Session 1,2022-06-24,,Paper 1,2022\Session-1\Answer-Keys\JEE_Main_2022_Session-1_Paper-1_Final-Answer-Key.pdf,13,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2022,Session 1,2022-07-03,,Paper 1 (B.E./B.Tech),2022\Session-1\Question-Papers\JEE_Main_2022_Session-1_2022-07-03_Question-Paper.pdf,1,Question Paper Display Notice,false,MANUAL_REVIEW_REQUIRED,NTA Public Notice announcing candidate response display on examinationservices.nic.in; does not contain raw question items.
2022,Session 1,,,Paper 1 (B.E./B.Tech),2022\Session-1\Question-Papers\JEE_Main_2022_Session-1_Question-Paper.pdf,2,Question Paper Display Notice,false,MANUAL_REVIEW_REQUIRED,NTA Public Notice announcing candidate response display on examinationservices.nic.in; does not contain raw question items.
2022,Session 2,2022-07-25,,Paper 1,2022\Session-2\Answer-Keys\JEE_Main_2022_Session-2_Paper-1_Final-Answer-Key.pdf,11,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2022,Session 2,2020-09-01,,Paper 2,2022\Session-2\Answer-Keys\JEE_Main_2022_Session-2_Paper-2_Answer-Key.pdf,8,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2022,Session 2,,,Paper 1 (B.E./B.Tech),2022\Session-2\Question-Papers\JEE_Main_2022_Session-2_Question-Paper.pdf,2,Question Paper Display Notice,false,MANUAL_REVIEW_REQUIRED,NTA Public Notice announcing candidate response display on examinationservices.nic.in; does not contain raw question items.
2022,Session 4,2021-09-28,,Paper 1 (B.E./B.Tech),2022\Session-4\Question-Papers\JEE_Main_2022_Session-4_2021-09-28_Question-Paper.pdf,2,Question Paper Display Notice,false,MANUAL_REVIEW_REQUIRED,NTA Public Notice announcing candidate response display on examinationservices.nic.in; does not contain raw question items.
2022,Session General,2021-09-06,,Paper 1 (B.E./B.Tech),2022\Session-General\Question-Papers\JEE_Main_2022_Session-General_2021-09-06_Question-Paper.pdf,2,Question Paper Display Notice,false,MANUAL_REVIEW_REQUIRED,NTA Public Notice announcing candidate response display on examinationservices.nic.in; does not contain raw question items.
2023,Session 1,2023-01-28,Shift 2,Paper 2,2023\Session-1\Answer-Keys\JEE_Main_2023_Session-1_Paper-2_Answer-Key.pdf,3,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2023,Session 2,,,Paper 1 (B.E./B.Tech),2023\Session-2\Question-Papers\JEE_Main_2023_Session-2_Question-Paper.pdf,2,Question Paper Display Notice,false,MANUAL_REVIEW_REQUIRED,NTA Public Notice announcing candidate response display on examinationservices.nic.in; does not contain raw question items.
2023,Session General,2023-02-01,,Paper 1,2023\Session-General\Answer-Keys\JEE_Main_2023_Session-General_Paper-1_Final-Answer-Key.pdf,12,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2023,Session General,2023-02-01,,Paper 1,2023\Session-General\Answer-Keys\JEE_Main_2023_Session-General_Paper-1_Final-Answer-Key_2.pdf,12,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2024,Session 1,2024-01-31,Shift 1,Paper 1,2024\Session-1\Answer-Keys\JEE_Main_2024_Session-1_2024-01-31_Paper-1_Final-Answer-Key.pdf,10,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2024,Session 1,2024-01-24,Shift 2,Paper 2,2024\Session-1\Answer-Keys\JEE_Main_2024_Session-1_Paper-2_Final-Answer-Key.pdf,3,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2024,Session 1,,,Paper 1,2024\Session-1\Notices\JEE_Main_2024_Session-1_Paper-1_Provisional-Answer-Key-Notice.pdf,2,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2024,Session 1,,,Paper 1,2024\Session-1\Notices\JEE_Main_2024_Session-1_Paper-1_Provisional-Answer-Key-Notice_2.pdf,2,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2024,Session 2,2024-04-22,Shift 1,Paper 1,2024\Session-2\Answer-Keys\JEE_Main_2024_Session-2_2024-04-22_Paper-1_Final-Answer-Key.pdf,10,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2024,Session 2,2024-04-04,Shift 1,Paper 1,2024\Session-2\Answer-Keys\JEE_Main_2024_Session-2_Paper-1_Final-Answer-Key.pdf,10,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2024,Session 2,,,Paper 1,2024\Session-2\Notices\JEE_Main_2024_Session-2_Paper-1_Provisional-Answer-Key-Notice.pdf,2,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2024,Session 2,,,Paper 2,2024\Session-2\Notices\JEE_Main_2024_Session-2_Paper-2_Provisional-Answer-Key-Notice.pdf,2,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2025,Session 1,2025-01-30,Shift 2,Paper 2,2025\Session-1\Answer-Keys\JEE_Main_2025_Session-1_Paper-2_Final-Answer-Key.pdf,6,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2025,Session 2,2025-04-02,,Paper 1,2025\Session-2\Answer-Keys\JEE_Main_2025_Session-2_Paper-1_Final-Answer-Key.pdf,18,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2025,Session 2,2025-04-09,Shift 1,Paper 2,2025\Session-2\Answer-Keys\JEE_Main_2025_Session-2_Paper-2_Final-Answer-Key.pdf,6,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2025,Session 2,2025-04-09,Shift 1,Paper 2,2025\Session-2\Answer-Keys\JEE_Main_2025_Session-2_Paper-2_Final-Answer-Key_2.pdf,6,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2025,Session 2,,,Paper 1,2025\Session-2\Notices\JEE_Main_2025_Session-2_Paper-1_Provisional-Answer-Key-Notice.pdf,2,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2025,Session 2,,,Paper 2,2025\Session-2\Notices\JEE_Main_2025_Session-2_Paper-2_Provisional-Answer-Key-Notice.pdf,2,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2025,Session General,,,Paper 1,2025\Session-General\Answer-Keys\JEE_Main_2025_Session-General_Paper-1_Final-Answer-Key.pdf,1,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2025,Session General,2025-01-22,Shift 1,Paper 1,2025\Session-General\Answer-Keys\JEE_Main_2025_Session-General_Paper-1_Final-Answer-Key_2.pdf,20,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2025,Session General,2025-01-22,Shift 1,Paper 1,2025\Session-General\Answer-Keys\JEE_Main_2025_Session-General_Paper-1_Final-Answer-Key_3.pdf,20,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2026,Session 1,2026-01-21,Shift 1,Paper 1,2026\Session-1\Answer-Keys\JEE_Main_2026_Session-1_Paper-1_Final-Answer-Key.pdf,20,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2026,Session 1,2026-01-21,,Paper 1,2026\Session-1\Answer-Keys\JEE_Main_2026_Session-1_Paper-1_Final-Answer-Key_2.pdf,10,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2026,Session 1,2026-01-29,Shift 1,Paper 2,2026\Session-1\Answer-Keys\JEE_Main_2026_Session-1_Paper-2_Final-Answer-Key.pdf,6,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2026,Session 1,,,Paper 1,2026\Session-1\Notices\JEE_Main_2026_Session-1_Paper-1_Provisional-Answer-Key-Notice.pdf,2,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2026,Session 1,,,Paper 2,2026\Session-1\Notices\JEE_Main_2026_Session-1_Paper-2_Provisional-Answer-Key-Notice.pdf,2,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2026,Session 2,2026-04-02,Shift 1,Paper 1,2026\Session-2\Answer-Keys\JEE_Main_2026_Session-2_Paper-1_Final-Answer-Key.pdf,18,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2026,Session 2,,,Paper 1,2026\Session-2\Notices\JEE_Main_2026_Session-2_Paper-1_Provisional-Answer-Key-Notice.pdf,2,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2026,Session 2,,,Paper 2,2026\Session-2\Notices\JEE_Main_2026_Session-2_Paper-2_Provisional-Answer-Key-Notice.pdf,2,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,30,Full Question Paper (Master),true,PROCESSED,Full 75-question master paper processed with diagrams and answers.
2026,Session 2,2026-04-02,Shift 2,Paper 1 (B.E./B.Tech),2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-2_Question-Paper.pdf,31,Full Question Paper (Master),true,PROCESSED,Full 75-question master paper processed with diagrams and answers.
2026,Session 2,2026-04-04,Shift 1,Paper 1 (B.E./B.Tech),2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-04_Shift-1_Question-Paper.pdf,28,Full Question Paper (Master),true,PROCESSED,Full 75-question master paper processed with diagrams and answers.
2026,Session 2,2026-04-04,Shift 2,Paper 1 (B.E./B.Tech),2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-04_Shift-2_Question-Paper.pdf,30,Full Question Paper (Master),true,PROCESSED,Full 75-question master paper processed with diagrams and answers.
2026,Session 2,2026-04-05,Shift 1,Paper 1 (B.E./B.Tech),2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-05_Shift-1_Question-Paper.pdf,30,Full Question Paper (Master),true,PROCESSED,Full 75-question master paper processed with diagrams and answers.
2026,Session 2,2026-04-05,Shift 2,Paper 1 (B.E./B.Tech),2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-05_Shift-2_Question-Paper.pdf,30,Full Question Paper (Master),true,PROCESSED,Full 75-question master paper processed with diagrams and answers.
2026,Session 2,2026-04-06,Shift 1,Paper 1 (B.E./B.Tech),2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-06_Shift-1_Question-Paper.pdf,28,Full Question Paper (Master),true,PROCESSED,Full 75-question master paper processed with diagrams and answers.
2026,Session 2,2026-04-06,Shift 2,Paper 1 (B.E./B.Tech),2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-06_Shift-2_Question-Paper.pdf,31,Full Question Paper (Master),true,PROCESSED,Full 75-question master paper processed with diagrams and answers.
2026,Session 2,2026-04-08,Shift 2,Paper 1 (B.E./B.Tech),2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-08_Shift-2_Question-Paper.pdf,31,Full Question Paper (Master),true,PROCESSED,Full 75-question master paper processed with diagrams and answers.
2026,Session General,2026-04-07,Shift 2,Paper 2,2026\Session-General\Answer-Keys\JEE_Main_2026_Session-General_Paper-2_Final-Answer-Key.pdf,6,Final Answer Key,false,CATALOGED_KEY,Official tabular answer key containing Question IDs and Correct Option IDs; cataloged for reference.
